Name,Quantity,Category,Location
Thrasher mag 2023/9,1,Books & Media,Living Room
BKS Iyengar YOGA,1,Books & Media,Living Room
Hay,1,Books & Media,Living Room
The local project 10,1,Books & Media,Living Room
Bauhaus,1,Books & Media,Living Room
Drawing,1,Books & Media,Living Room
American Impression,1,Books & Media,Living Room
Art In America  2022/9,1,Books & Media,Living Room
Casa Brutus 2023/5,1,Books & Media,Living Room
Ganni Shoe box,1,Shoes,Living Room
Bug painting,1,Home Decor,Living Room
Ikea human figure,1,Home Decor,Living Room
UCLA key chain,1,Personal Accessories,Living Room
Prada tote,1,Clothing & Accessories,Living Room
Prada small bag,1,Clothing & Accessories,Living Room
Ikea lint roller,1,Cleaning & Laundry Supplies,Living Room
Feeding bowl mat,1,Miscellaneous,Living Room
Pegboard 30 * 22,1,Storage & Organization,Living Room
Herman Miller story bookshelves,1,Storage & Organization,Living Room
Sonos One,1,Electronics,Living Room
Marshall Speaker,1,Electronics,Living Room
hanging lamp,1,Electronics,Living Room
Money Tree,1,Plants & Gardening Supplies,Living Room
Monstera big,1,Plants & Gardening Supplies,Living Room
Oak mounting board,1,Plants & Gardening Supplies,Ikea Container White 1
Black cylinder planters,10,Plants & Gardening Supplies,Ikea Container White 1
White cylinder planters,3,Plants & Gardening Supplies,Ikea Container White 1
Medium planters,4,Plants & Gardening Supplies,Ikea Container White 1
Ikea pink planter,1,Plants & Gardening Supplies,Ikea Container White 1
Clear/Transperant Planters,5,Plants & Gardening Supplies,Ikea Container White 1
Clear plastic cups,10,Plants & Gardening Supplies,Ikea Container White 1
Mother grow lights components,1,Plants & Gardening Supplies,Ikea Container White 1
Planter hangers,3,Plants & Gardening Supplies,Ikea Container White 1
"Amz 5"" white saucers",2,Plants & Gardening Supplies,Ikea Container White 1
Glass vases,7,Plants & Gardening Supplies,White/Beige Plant Holder
Cork Cup Coasters,7,Plants & Gardening Supplies,Ikea Container White 1
Green binds,100,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
OOK Hangers,50,Plants & Gardening Supplies,Ikea Cabinet Left Upper Drawer
